Master Category,Subcategory,Date,Location,Payee,Description,Payment Method,Amount,
"Auto/Transportation","Gasoline","12/23/2019"," ","ARC O","PURCHASE                                AUTHORIZED ON   12/20 ARCO #42546 AMPM          NORTH HOLLYWO CA  P00389355109193997 CARD 0014","Debit Card/ATM Card ...0014","$50.44",
"Auto/Transportation","Gasoline","12/11/2019"," ","ARC O","PURCHASE                                AUTHORIZED ON   12/11 ARCO #42546 AMPM          NORTH HOLLYWO CA  P00389345678046031 CARD 0014","Debit Card/ATM Card ...0014","$40.42",
"Auto/Transportation","Gasoline","12/03/2019"," ","ARC O","PURCHASE                                AUTHORIZED ON   12/03 ARCO #42146               WOODLAND HILL CA  P00589338018046534 CARD 0014","Debit Card/ATM Card ...0014","$43.32",
"Auto/Transportation","Gasoline","11/14/2019"," ","ARC O","PURCHASE                                AUTHORIZED ON   11/14 ARCO #42146               WOODLAND HILL CA  P00309319005347434 CARD 0014","Debit Card/ATM Card ...0014","$51.69",
"Auto/Transportation","Gasoline","11/05/2019"," ","ARC O","PURCHASE                                AUTHORIZED ON   11/05 ARCO #42146               WOODLAND HILL CA  P00389310037223106 CARD 0014","Debit Card/ATM Card ...0014","$50.62",
"Auto/Transportation","Gasoline","10/28/2019","NORTH HOLLYWO,CA","7-ELEVEN","7-ELEVEN 19670 NORTH HOLLYWO,CA","PLATINUM CARD ...8434","$2.08",
"Auto/Transportation","Gasoline","10/28/2019"," ","ARC O","PURCHASE                                AUTHORIZED ON   10/28 ARCO #42146               WOODLAND HILL CA  P00469301818650114 CARD 0014","Debit Card/ATM Card ...0014","$50.45",
"Auto/Transportation","Gasoline","10/22/2019"," ","ARC O","PURCHASE                                AUTHORIZED ON   10/22 ARCO #42146               WOODLAND HILL CA  P00389295850322542 CARD 0014","Debit Card/ATM Card ...0014","$40.61",
"Auto/Transportation","Gasoline","10/17/2019"," ","ARC O","PURCHASE                                AUTHORIZED ON   10/17 ARCO #42146               WOODLAND HILL CA  P00469290846945779 CARD 0014","Debit Card/ATM Card ...0014","$30.33",
"Auto/Transportation","Gasoline","10/11/2019"," ","ARC O","PURCHASE                                AUTHORIZED ON   10/11 ARCO #42146               WOODLAND HILL CA  P00589285013898854 CARD 0014","Debit Card/ATM Card ...0014","$30.61",
"Auto/Transportation","Gasoline","10/03/2019"," ","ARC O","PURCHASE                                AUTHORIZED ON   10/03 ARCO #42146               WOODLAND HILL CA  P00469277007577580 CARD 0014","Debit Card/ATM Card ...0014","$60.68",
"Auto/Transportation","Gasoline","09/24/2019"," ","ARC O","PURCHASE                                AUTHORIZED ON   09/24 ARCO #42146               WOODLAND HILL CA  P00000000776685995 CARD 0014","Debit Card/ATM Card ...0014","$55.22",
"Auto/Transportation","Gasoline","09/16/2019"," ","ARC O","PURCHASE                                AUTHORIZED ON   09/14 ARCO #42200               NORTHRIDGE    CA  P00000000371808902 CARD 0014","Debit Card/ATM Card ...0014","$53.22",
"Auto/Transportation","Gasoline","09/14/2019","NORTH HOLLYWO,CA","7-ELEVEN","7-ELEVEN 20007 NORTH HOLLYWO,CA","PLATINUM CARD ...8434","$4.27",
"Auto/Transportation","Gasoline","09/06/2019"," ","ARC O","PURCHASE                                AUTHORIZED ON   09/06 ARCO #42146               WOODLAND HILL CA  P00000000675254645 CARD 0014","Debit Card/ATM Card ...0014","$50.54",
"Auto/Transportation","Gasoline","08/27/2019"," ","ARC O","PURCHASE                                AUTHORIZED ON   08/27 ARCO #42146               WOODLAND HILL CA  P00000000084722429 CARD 0014","Debit Card/ATM Card ...0014","$50.66",
"Auto/Transportation","Gasoline","08/26/2019"," ","ARC O","PURCHASE                                AUTHORIZED ON   08/25 ARCO #42546 AMPM          NORTH HOLLYWO CA  P00000000275763313 CARD 0014","Debit Card/ATM Card ...0014","$3.88",
"Auto/Transportation","Gasoline","08/19/2019"," ","ARC O","PURCHASE                                AUTHORIZED ON   08/19 ARCO #42146               WOODLAND HILL CA  P00000000087827911 CARD 0014","Debit Card/ATM Card ...0014","$42.34",
"Auto/Transportation","Gasoline","08/07/2019"," ","ARC O","PURCHASE                                AUTHORIZED ON   08/07 ARCO #42546 AMPM          NORTH HOLLYWO CA  P00000000439743624 CARD 0014","Debit Card/ATM Card ...0014","$46.37",
"Auto/Transportation","Gasoline","07/31/2019"," ","ARC O","PURCHASE                                AUTHORIZED ON   07/31 ARCO #42051 AMPM          STUDIO CITY   CA  P00000000031986885 CARD 0014","Debit Card/ATM Card ...0014","$40.34",
"Auto/Transportation","Gasoline","07/29/2019"," ","ARC O","PURCHASE                                AUTHORIZED ON   07/26 ARCO #42546 AMPM          NORTH HOLLYWO CA  P00000000979894719 CARD 0014","Debit Card/ATM Card ...0014","$9.29",
"Auto/Transportation","Gasoline","07/19/2019"," ","ARC O","PURCHASE                                AUTHORIZED ON   07/19 ARCO #42146               WOODLAND HILL CA  P00000000775834106 CARD 0014","Debit Card/ATM Card ...0014","$50.40",
"Auto/Transportation","Gasoline","07/10/2019","NORTHRIDGE   ,CA","ARC O","ARCO 42200 NORTHRIDGE   ,CA","PLATINUM CARD ...8434","$4.20",
"Auto/Transportation","Gasoline","07/08/2019"," ","ARC O","PURCHASE                                AUTHORIZED ON   07/08 ARCO #42200               NORTHRIDGE    CA  P00000000177686944 CARD 0014","Debit Card/ATM Card ...0014","$58.27",
"Auto/Transportation","Gasoline","06/28/2019"," ","ARC O","PURCHASE                                AUTHORIZED ON   06/27 ARCO #42546 AMPM          NORTH HOLLYWO CA  P00000000077744915 CARD 0014","Debit Card/ATM Card ...0014","$48.88",
